Height_cm,Weight_kg,BMI,BMI_Category,Body_Shape,Hip_Circumference_cm,Shoulder_Width_cm,Clothing_Size,Style_Preference,Recommended_Cloth_Color
184.96,128.84,37.66,Obese,Athletic,118.15,44.04,XXL,Soft & Gentle,Beige
158.54,92.65,36.86,Obese,Apple,114.3,39.0,XL,Calm & Classic,Forest Green
178.57,113.04,35.45,Obese,Apple,112.97,44.14,XXL,Soft & Gentle,Brown
168.33,43.3,15.28,Underweight,Athletic,85.42,50.89,M,Adventurous & Natural,Electric Blue
176.65,49.77,15.95,Underweight,Oval,110.49,48.13,S,Bold & Expressive,Lime Green
180.4,93.79,28.82,Overweight,Apple,100.03,40.73,XXL,Bold & Expressive,Maroon
175.99,89.01,28.74,Overweight,Athletic,103.26,46.79,XXL,Calm & Classic,Cream
179.5,57.38,17.81,Underweight,Rectangle,83.08,39.03,XS,Bold & Expressive,Orange
167.75,47.95,17.04,Underweight,Pear,88.47,39.19,XS,Calm & Classic,White
185.05,53.39,15.59,Underweight,Apple,92.05,44.37,M,Soft & Gentle,Light Blue
156.83,38.91,15.82,Underweight,Athletic,79.75,46.93,XS,Bold & Expressive,Gold
187.84,57.58,16.32,Underweight,Oval,115.54,40.93,M,Calm & Classic,Khaki
152.63,35.6,15.28,Underweight,Inverted Triangle,78.61,43.94,XS,Adventurous & Natural,Terracotta
189.06,127.6,35.7,Obese,Athletic,109.99,44.63,XXL,Calm & Classic,Lavender
178.44,79.6,25.0,Overweight,Athletic,110.24,45.71,XL,Soft & Gentle,White
151.24,34.38,15.03,Underweight,Oval,104.65,41.07,XS,Calm & Classic,Teal
160.65,65.4,25.34,Overweight,Hourglass,115.48,39.94,M,Adventurous & Natural,Forest Green
154.92,92.45,38.52,Obese,Diamond,109.91,39.95,L,Adventurous & Natural,Red
187.2,61.08,17.43,Underweight,Diamond,97.74,40.86,M,Soft & Gentle,Beige
154.9,60.03,25.02,Overweight,Pear,110.76,42.01,M,Bold & Expressive,Yellow
152.0,75.76,32.79,Obese,Hourglass,124.02,37.92,M,Bold & Expressive,Coral
180.69,49.66,15.21,Underweight,Athletic,100.97,46.67,M,Soft & Gentle,Pale Yellow
156.3,88.95,36.41,Obese,Rectangle,107.9,44.2,XL,Soft & Gentle,Lavender
184.24,51.05,15.04,Underweight,Hourglass,107.1,44.74,S,Soft & Gentle,Grey
181.11,85.15,25.96,Overweight,Apple,125.98,39.61,XL,Calm & Classic,Terracotta
163.03,42.29,15.91,Underweight,Pear,96.2,35.57,XS,Soft & Gentle,Light Blue
155.94,68.14,28.02,Overweight,Pear,111.71,40.52,M,Adventurous & Natural,Forest Green
154.81,91.53,38.19,Obese,Athletic,101.44,51.5,XXL,Soft & Gentle,Black
178.37,85.04,26.73,Overweight,Diamond,90.44,41.41,XL,Bold & Expressive,Maroon
165.36,48.92,17.89,Underweight,Pear,89.28,44.37,XS,Soft & Gentle,Cream
160.55,78.59,30.49,Obese,Spoon,112.08,43.57,XL,Adventurous & Natural,Turquoise
186.36,91.86,26.45,Overweight,Spoon,119.06,46.43,XXL,Bold & Expressive,Turquoise
152.79,41.04,17.58,Underweight,Hourglass,105.21,39.25,XS,Soft & Gentle,Black
165.05,78.67,28.88,Overweight,Oval,109.39,47.66,XL,Calm & Classic,Cream
161.8,43.38,16.57,Underweight,Oval,95.04,44.8,XS,Bold & Expressive,Gold
184.41,90.42,26.59,Overweight,Inverted Triangle,89.04,51.51,XXL,Calm & Classic,Khaki
159.87,101.59,39.75,Obese,Athletic,95.58,45.4,XL,Soft & Gentle,Peach
150.88,75.06,32.97,Obese,Rectangle,91.95,41.69,L,Adventurous & Natural,Khaki
175.27,52.28,17.02,Underweight,Pear,110.78,45.36,XS,Bold & Expressive,Orange
180.22,107.12,32.98,Obese,Inverted Triangle,88.97,48.91,XXL,Adventurous & Natural,Orange
183.37,59.75,17.77,Underweight,Hourglass,96.15,39.29,S,Bold & Expressive,Gold
188.47,96.58,27.19,Overweight,Pear,109.01,42.7,XL,Adventurous & Natural,Terracotta
184.53,60.1,17.65,Underweight,Spoon,98.04,48.14,L,Calm & Classic,Black
180.26,49.52,15.24,Underweight,Rectangle,88.42,46.13,M,Adventurous & Natural,Mustard Yellow
154.34,61.31,25.74,Overweight,Athletic,107.24,47.06,XL,Adventurous & Natural,Orange
154.0,36.17,15.25,Underweight,Athletic,97.67,50.31,XS,Adventurous & Natural,Rust
160.68,100.9,39.08,Obese,Inverted Triangle,90.12,49.79,XXL,Soft & Gentle,Lavender
154.94,39.95,16.64,Underweight,Athletic,80.98,41.76,XS,Bold & Expressive,Orange
151.61,63.42,27.59,Overweight,Diamond,103.37,41.99,M,Bold & Expressive,Yellow
176.94,113.4,36.22,Obese,Inverted Triangle,105.1,52.54,XXL,Adventurous & Natural,Coral
173.5,118.84,39.48,Obese,Rectangle,106.32,40.44,XXL,Soft & Gentle,Black
162.11,41.21,15.68,Underweight,Pear,106.13,35.0,XS,Calm & Classic,Olive Green
168.51,89.76,31.61,Obese,Oval,110.23,40.65,XXL,Adventurous & Natural,Coral
187.98,108.66,30.75,Obese,Athletic,108.61,44.03,XXL,Soft & Gentle,Pale Yellow
165.97,86.22,31.3,Obese,Hourglass,120.17,47.58,XXL,Adventurous & Natural,Red
176.1,54.21,17.48,Underweight,Hourglass,108.45,45.05,XS,Bold & Expressive,Gold
160.33,72.03,28.02,Overweight,Hourglass,96.41,43.77,L,Bold & Expressive,Red
169.38,50.03,17.44,Underweight,Hourglass,103.26,45.83,XS,Adventurous & Natural,Rust
180.42,51.2,15.73,Underweight,Hourglass,110.36,42.56,S,Soft & Gentle,Beige
186.72,90.68,26.01,Overweight,Athletic,112.99,49.48,XXL,Bold & Expressive,Maroon
173.29,53.33,17.76,Underweight,Hourglass,105.77,39.78,XS,Bold & Expressive,Magenta
179.1,50.87,15.86,Underweight,Pear,109.2,46.98,XS,Soft & Gentle,Beige
155.61,64.46,26.62,Overweight,Oval,104.85,39.54,S,Soft & Gentle,Light Blue
189.02,89.82,25.14,Overweight,Athletic,108.05,43.88,XXL,Calm & Classic,Navy
170.76,84.42,28.95,Overweight,Athletic,89.55,44.71,XL,Bold & Expressive,Yellow
168.59,105.76,37.21,Obese,Oval,106.6,44.48,XXL,Adventurous & Natural,Bright Orange
189.81,55.3,15.35,Underweight,Spoon,108.66,44.77,M,Bold & Expressive,Gold
164.06,76.44,28.4,Overweight,Oval,106.75,44.67,L,Bold & Expressive,Turquoise
166.75,84.45,30.37,Obese,Oval,105.95,39.67,XL,Adventurous & Natural,Electric Blue
163.11,70.88,26.64,Overweight,Oval,104.05,38.05,M,Bold & Expressive,Yellow
160.75,82.74,32.02,Obese,Hourglass,113.21,40.17,XXL,Soft & Gentle,Black
150.54,65.45,28.88,Overweight,Oval,114.82,46.55,L,Soft & Gentle,Peach
159.97,44.63,17.44,Underweight,Diamond,93.2,38.75,XS,Calm & Classic,Brown
162.01,42.26,16.1,Underweight,Hourglass,111.52,46.44,S,Calm & Classic,White
177.14,53.72,17.12,Underweight,Rectangle,91.83,38.65,XS,Calm & Classic,Beige
174.64,51.88,17.01,Underweight,Spoon,117.18,46.51,S,Bold & Expressive,Orange
171.6,104.48,35.48,Obese,Pear,104.52,37.18,XL,Adventurous & Natural,Terracotta
159.93,100.95,39.47,Obese,Rectangle,97.68,43.24,XL,Adventurous & Natural,Turquoise
167.03,104.06,37.3,Obese,Athletic,115.81,47.1,XXL,Soft & Gentle,Peach
174.57,83.62,27.44,Overweight,Athletic,109.72,53.93,XXL,Bold & Expressive,Orange
170.06,51.28,17.73,Underweight,Hourglass,107.33,38.13,XS,Bold & Expressive,Turquoise
165.9,73.02,26.53,Overweight,Athletic,92.43,44.51,XL,Calm & Classic,Khaki
169.57,89.37,31.08,Obese,Inverted Triangle,98.2,50.0,XXL,Adventurous & Natural,Forest Green
188.09,56.57,15.99,Underweight,Spoon,112.05,45.75,M,Bold & Expressive,Maroon
173.7,51.35,17.02,Underweight,Apple,95.11,38.7,XS,Adventurous & Natural,Khaki
174.8,109.39,35.8,Obese,Diamond,108.83,40.97,XXL,Bold & Expressive,Coral
169.89,78.91,27.34,Overweight,Spoon,119.28,38.67,M,Soft & Gentle,Peach
150.23,75.29,33.36,Obese,Hourglass,106.17,40.97,L,Bold & Expressive,Coral
180.7,89.53,27.42,Overweight,Athletic,106.7,50.99,XXL,Bold & Expressive,Electric Blue
173.79,52.79,17.48,Underweight,Spoon,103.22,45.6,XS,Soft & Gentle,Pale Yellow
157.4,40.14,16.2,Underweight,Inverted Triangle,90.37,40.03,XS,Soft & Gentle,Peach
172.49,77.86,26.17,Overweight,Inverted Triangle,100.46,49.67,XL,Adventurous & Natural,Rust
150.23,88.65,39.28,Obese,Inverted Triangle,101.93,42.75,XL,Bold & Expressive,Bright Orange
165.27,79.02,28.93,Overweight,Spoon,112.65,44.03,L,Adventurous & Natural,Bright Orange
153.78,65.88,27.86,Overweight,Inverted Triangle,93.73,50.97,XL,Soft & Gentle,Beige
183.09,53.87,16.07,Underweight,Oval,101.15,48.56,M,Bold & Expressive,Electric Blue
163.9,44.4,16.53,Underweight,Hourglass,111.57,38.97,XS,Bold & Expressive,Turquoise
181.61,86.91,26.35,Overweight,Pear,106.56,39.58,XL,Adventurous & Natural,Electric Blue
189.82,121.93,33.84,Obese,Apple,102.97,45.39,XXL,Soft & Gentle,Mint Green
166.18,45.54,16.49,Underweight,Spoon,109.28,47.16,S,Bold & Expressive,Red
163.58,74.58,27.87,Overweight,Pear,109.29,40.65,M,Soft & Gentle,Pale Yellow
153.62,61.05,25.87,Overweight,Rectangle,93.77,44.0,M,Bold & Expressive,Turquoise
167.75,46.52,16.53,Underweight,Inverted Triangle,75.44,47.61,M,Calm & Classic,Rust
187.75,56.08,15.91,Underweight,Athletic,86.95,46.55,XL,Adventurous & Natural,Olive Green
167.45,49.41,17.62,Underweight,Pear,118.3,39.06,XS,Soft & Gentle,Cream
176.0,50.15,16.19,Underweight,Pear,89.63,35.79,XS,Bold & Expressive,Orange
170.0,48.84,16.9,Underweight,Pear,106.17,38.3,XS,Adventurous & Natural,Bright Orange
171.58,77.43,26.3,Overweight,Diamond,95.63,45.06,L,Soft & Gentle,Brown
173.96,49.72,16.43,Underweight,Hourglass,100.98,41.33,XS,Calm & Classic,Brown
154.33,84.31,35.4,Obese,Spoon,96.69,42.68,XL,Soft & Gentle,Baby Pink
165.35,46.59,17.04,Underweight,Inverted Triangle,84.44,44.52,XS,Soft & Gentle,Cream
165.1,69.02,25.32,Overweight,Apple,123.2,43.49,XL,Soft & Gentle,Lavender
180.2,50.1,15.43,Underweight,Oval,113.45,47.0,M,Adventurous & Natural,Yellow
170.97,50.28,17.2,Underweight,Spoon,99.83,43.37,XS,Soft & Gentle,Pale Yellow
165.14,83.75,30.71,Obese,Pear,115.62,37.18,XL,Calm & Classic,Grey
167.42,78.09,27.86,Overweight,Rectangle,94.6,38.66,M,Calm & Classic,Navy
151.12,62.69,27.45,Overweight,Pear,98.98,35.91,XS,Calm & Classic,Mustard Yellow
161.98,103.48,39.44,Obese,Diamond,104.82,39.12,XL,Soft & Gentle,Brown
176.51,79.73,25.59,Overweight,Diamond,88.66,40.1,L,Adventurous & Natural,Turquoise
172.51,85.8,28.83,Overweight,Oval,94.68,38.89,L,Adventurous & Natural,Yellow
151.88,66.76,28.94,Overweight,Inverted Triangle,90.75,43.87,M,Calm & Classic,Lavender
184.29,118.12,34.78,Obese,Spoon,123.76,46.5,XXL,Bold & Expressive,Bright Orange
183.54,94.69,28.11,Overweight,Oval,108.1,43.48,XXL,Soft & Gentle,Peach
189.5,100.19,27.9,Overweight,Athletic,92.12,50.69,XXL,Bold & Expressive,Red
184.93,60.98,17.83,Underweight,Apple,105.33,43.74,M,Bold & Expressive,Lime Green
164.24,45.51,16.87,Underweight,Diamond,87.1,42.77,XS,Bold & Expressive,Coral
165.72,69.62,25.35,Overweight,Inverted Triangle,98.83,45.72,XL,Soft & Gentle,Pale Yellow
152.69,40.29,17.28,Underweight,Inverted Triangle,82.28,42.06,XS,Bold & Expressive,Yellow
169.03,73.03,25.56,Overweight,Oval,110.32,41.13,L,Calm & Classic,Blue
172.98,53.53,17.89,Underweight,Apple,111.64,39.77,XS,Calm & Classic,Purple
181.88,84.98,25.69,Overweight,Oval,112.75,46.49,XXL,Bold & Expressive,Maroon
161.51,39.68,15.21,Underweight,Apple,101.3,40.01,XS,Calm & Classic,Cream
170.05,46.73,16.16,Underweight,Inverted Triangle,81.66,52.07,M,Calm & Classic,Rust
179.26,113.14,35.21,Obese,Spoon,112.05,39.82,XL,Soft & Gentle,Pale Yellow
154.07,63.69,26.83,Overweight,Rectangle,87.8,37.6,S,Calm & Classic,Black
158.11,72.47,28.99,Overweight,Athletic,109.22,41.11,M,Soft & Gentle,Black
150.41,69.36,30.66,Obese,Diamond,95.89,39.99,M,Soft & Gentle,Pale Yellow
173.21,75.21,25.07,Overweight,Rectangle,110.23,47.18,XL,Calm & Classic,Cream
156.95,62.35,25.31,Overweight,Inverted Triangle,95.23,47.31,XL,Bold & Expressive,Maroon
162.0,92.35,35.19,Obese,Spoon,107.13,37.62,XL,Soft & Gentle,Lavender
162.03,43.61,16.61,Underweight,Spoon,98.13,39.91,XS,Adventurous & Natural,Yellow
187.3,59.81,17.05,Underweight,Pear,104.43,39.54,XS,Calm & Classic,Navy
187.89,61.74,17.49,Underweight,Pear,97.36,39.01,XS,Soft & Gentle,Light Blue
159.98,41.38,16.17,Underweight,Diamond,94.43,38.8,XS,Calm & Classic,Beige
160.61,90.0,34.89,Obese,Athletic,97.06,50.63,XXL,Adventurous & Natural,Mustard Yellow
177.16,114.12,36.36,Obese,Diamond,114.52,44.79,XXL,Bold & Expressive,Maroon
160.44,41.42,16.09,Underweight,Inverted Triangle,98.5,45.32,XS,Adventurous & Natural,Orange
154.66,89.27,37.32,Obese,Inverted Triangle,94.39,45.87,XL,Bold & Expressive,Coral
174.27,81.94,26.98,Overweight,Spoon,114.01,43.28,XL,Bold & Expressive,Yellow
154.12,90.14,37.95,Obese,Spoon,105.91,40.25,XL,Adventurous & Natural,Gold
179.26,51.16,15.92,Underweight,Apple,90.65,43.15,XS,Soft & Gentle,Grey
163.04,42.8,16.1,Underweight,Spoon,108.51,38.3,XS,Bold & Expressive,Coral
162.65,44.68,16.89,Underweight,Pear,110.43,38.21,XS,Calm & Classic,Black
150.8,57.9,25.46,Overweight,Spoon,111.56,37.17,S,Soft & Gentle,Brown
186.91,59.22,16.95,Underweight,Athletic,104.12,51.5,XL,Adventurous & Natural,Gold
185.56,52.27,15.18,Underweight,Hourglass,118.23,39.63,XS,Soft & Gentle,Beige
150.42,64.05,28.31,Overweight,Apple,97.55,39.63,M,Bold & Expressive,Magenta
160.83,102.35,39.57,Obese,Inverted Triangle,85.83,49.3,XXL,Adventurous & Natural,Electric Blue
155.94,42.85,17.62,Underweight,Diamond,80.82,46.84,XS,Calm & Classic,Rust
181.56,50.73,15.39,Underweight,Apple,88.14,45.18,M,Adventurous & Natural,Khaki
176.87,48.68,15.56,Underweight,Spoon,108.77,41.77,XS,Soft & Gentle,Brown
155.96,62.44,25.67,Overweight,Hourglass,97.57,46.18,L,Adventurous & Natural,Red
169.84,76.67,26.58,Overweight,Rectangle,97.17,43.71,L,Adventurous & Natural,Magenta
184.24,52.48,15.46,Underweight,Spoon,94.53,46.5,M,Adventurous & Natural,Orange
160.39,86.64,33.68,Obese,Inverted Triangle,94.01,49.24,XXL,Adventurous & Natural,Magenta
157.27,38.73,15.66,Underweight,Pear,104.38,39.87,XS,Calm & Classic,Brown
174.84,102.9,33.66,Obese,Rectangle,108.99,47.84,XXL,Soft & Gentle,Lavender
153.49,62.53,26.54,Overweight,Hourglass,104.77,37.89,S,Adventurous & Natural,Rust
176.97,100.53,32.1,Obese,Pear,118.09,39.4,XL,Bold & Expressive,Gold
167.85,46.71,16.58,Underweight,Diamond,94.8,42.23,XS,Bold & Expressive,Magenta
160.31,69.93,27.21,Overweight,Pear,113.49,37.46,M,Adventurous & Natural,Lime Green
175.9,81.5,26.34,Overweight,Oval,105.65,40.59,XL,Calm & Classic,Teal
168.52,78.84,27.76,Overweight,Diamond,109.25,42.41,L,Calm & Classic,Rust
159.13,64.01,25.28,Overweight,Apple,117.68,39.43,M,Calm & Classic,Mustard Yellow
185.77,59.46,17.23,Underweight,Spoon,102.64,43.38,M,Bold & Expressive,Coral
186.85,132.56,37.97,Obese,Hourglass,130.0,46.35,XXL,Adventurous & Natural,Red
170.6,90.25,31.01,Obese,Oval,126.07,46.06,XXL,Adventurous & Natural,Olive Green
158.31,66.99,26.73,Overweight,Apple,110.61,38.63,M,Bold & Expressive,Electric Blue
183.89,55.09,16.29,Underweight,Pear,93.41,43.36,M,Adventurous & Natural,Terracotta
160.68,38.8,15.03,Underweight,Oval,88.26,43.91,XS,Adventurous & Natural,Maroon
169.63,79.33,27.57,Overweight,Pear,111.07,45.38,M,Bold & Expressive,Gold
165.77,76.86,27.97,Overweight,Hourglass,112.57,43.51,L,Soft & Gentle,Light Blue
158.17,68.25,27.28,Overweight,Spoon,113.75,41.36,M,Calm & Classic,White
157.89,64.39,25.83,Overweight,Apple,120.96,46.83,XL,Soft & Gentle,Beige
164.25,42.95,15.92,Underweight,Pear,110.32,37.42,XS,Adventurous & Natural,Orange
174.63,82.61,27.09,Overweight,Spoon,96.57,43.68,XL,Soft & Gentle,Baby Pink
154.81,63.92,26.67,Overweight,Hourglass,95.49,43.41,M,Calm & Classic,Khaki
183.19,108.63,32.37,Obese,Spoon,105.69,46.13,XXL,Adventurous & Natural,Yellow
157.18,41.33,16.73,Underweight,Apple,98.6,37.69,XS,Bold & Expressive,Maroon
157.85,71.93,28.87,Overweight,Inverted Triangle,88.81,42.92,M,Calm & Classic,Purple
181.31,116.57,35.46,Obese,Rectangle,98.84,43.96,XXL,Bold & Expressive,Electric Blue
186.51,96.04,27.61,Overweight,Pear,107.03,37.93,XL,Bold & Expressive,Fuchsia
174.95,101.74,33.24,Obese,Apple,120.59,46.97,XXL,Soft & Gentle,White
168.24,105.89,37.41,Obese,Pear,108.05,40.62,XL,Calm & Classic,Khaki
163.67,80.93,30.21,Obese,Hourglass,115.27,46.99,XXL,Adventurous & Natural,Red
188.65,128.12,36.0,Obese,Pear,115.12,41.98,XXL,Calm & Classic,Khaki
158.51,44.45,17.69,Underweight,Diamond,90.88,39.0,XS,Adventurous & Natural,Terracotta
181.29,101.79,30.97,Obese,Hourglass,107.06,43.71,XXL,Bold & Expressive,Magenta
160.63,74.36,28.82,Overweight,Diamond,106.6,44.01,L,Bold & Expressive,Electric Blue
168.69,81.41,28.61,Overweight,Oval,118.14,39.96,L,Bold & Expressive,Red
158.26,38.02,15.18,Underweight,Apple,99.93,37.99,XS,Bold & Expressive,Magenta
172.77,48.92,16.39,Underweight,Rectangle,91.96,45.71,XS,Calm & Classic,Purple
157.86,38.08,15.28,Underweight,Spoon,101.92,39.32,XS,Bold & Expressive,Yellow
156.16,63.45,26.02,Overweight,Apple,106.4,39.59,M,Bold & Expressive,Maroon
161.53,44.3,16.98,Underweight,Hourglass,100.15,38.77,XS,Soft & Gentle,Mint Green
182.34,108.45,32.62,Obese,Hourglass,112.82,46.97,XXL,Bold & Expressive,Magenta
183.87,97.54,28.85,Overweight,Pear,124.29,37.76,XL,Calm & Classic,Forest Green
159.86,45.33,17.74,Underweight,Pear,91.87,35.35,XS,Calm & Classic,Forest Green
185.24,55.45,16.16,Underweight,Inverted Triangle,81.29,49.62,XL,Calm & Classic,Green
169.35,87.76,30.6,Obese,Diamond,101.89,45.79,XXL,Calm & Classic,Navy
159.91,45.03,17.61,Underweight,Oval,111.97,41.75,XS,Soft & Gentle,Baby Pink
180.57,108.41,33.25,Obese,Rectangle,115.67,43.81,XXL,Soft & Gentle,Brown
170.46,105.04,36.15,Obese,Apple,101.6,42.43,XXL,Adventurous & Natural,Gold
155.05,61.57,25.61,Overweight,Diamond,105.12,43.66,M,Soft & Gentle,Mint Green
186.05,57.91,16.73,Underweight,Pear,120.85,38.76,XS,Adventurous & Natural,Rust
153.2,37.44,15.95,Underweight,Oval,105.89,38.68,XS,Calm & Classic,Blue
150.92,64.55,28.34,Overweight,Inverted Triangle,86.9,48.82,XL,Soft & Gentle,Baby Pink
173.71,97.65,32.36,Obese,Rectangle,102.29,42.36,XXL,Adventurous & Natural,Lime Green
183.7,89.59,26.55,Overweight,Athletic,99.5,49.84,XXL,Adventurous & Natural,Lime Green
158.75,86.97,34.51,Obese,Pear,104.94,36.28,M,Calm & Classic,Forest Green
184.35,95.02,27.96,Overweight,Hourglass,112.16,47.13,XXL,Bold & Expressive,Turquoise
182.52,54.67,16.41,Underweight,Spoon,113.57,48.31,M,Soft & Gentle,Pale Yellow
189.44,136.77,38.11,Obese,Hourglass,130.0,42.68,XXL,Bold & Expressive,Electric Blue
154.59,83.64,35.0,Obese,Rectangle,91.71,41.93,XL,Adventurous & Natural,Gold
168.39,72.19,25.46,Overweight,Oval,113.71,40.15,L,Bold & Expressive,Maroon
183.11,55.56,16.57,Underweight,Spoon,115.05,42.92,M,Soft & Gentle,Baby Pink
181.28,52.32,15.92,Underweight,Oval,95.77,43.85,S,Bold & Expressive,Lime Green
176.53,102.9,33.02,Obese,Hourglass,123.3,47.74,XXL,Adventurous & Natural,Forest Green
